Modus Code (V1 & V2),V2 Code (Supersedes to)
L_MODV2_SOIL_BD_006,L_MODV2_SOIL_BD_006
L_MODV2_SOIL_CNRATIO_001,L_MODV2_SOIL_CNRATIO_001
L_MODV2_SOIL_CNRATIO_002,L_MODV2_SOIL_CNRATIO_002
L_MODV2_SOIL_CNRATIO_003,L_MODV2_SOIL_CNRATIO_003
L_MODV2_SOIL_CNRATIO_004,L_MODV2_SOIL_CNRATIO_004
L_MODV2_SOIL_CAEMGP_001,L_MODV2_SOIL_CAEMGP_001
L_MODV2_SOIL_CAKRATIO_001,L_MODV2_SOIL_CAKRATIO_001
L_MODV2_SOIL_CAMGRATIO_001,L_MODV2_SOIL_CAMGRATIO_001
L_MODV2_SOIL_CAMGRATIO_002,L_MODV2_SOIL_CAMGRATIO_002
L_MODV2_SOIL_CAMGRATIO_003,L_MODV2_SOIL_CAMGRATIO_003
L_MODV2_SOIL_CAMGRATIO_004,L_MODV2_SOIL_CAMGRATIO_004
L_MODV2_SOIL_CANO3RATIO_001,L_MODV2_SOIL_CANO3RATIO_001
L_MODV2_SOIL_CAMGKRATIO_001,L_MODV2_SOIL_CAMGKRATIO_001
L_MODV2_SOIL_CD_001,L_MODV2_SOIL_CD_001
L_MODV2_SOIL_CD_002,L_MODV2_SOIL_CD_002
L_MODV2_SOIL_CD_003,L_MODV2_SOIL_CD_003
L_MODV2_SOIL_CD_004,L_MODV2_SOIL_CD_004
L_MODV2_SOIL_CD_005,L_MODV2_SOIL_CD_005
L_MODV2_SOIL_CD_006,L_MODV2_SOIL_CD_006
L_MODV2_SOIL_CD_007,L_MODV2_SOIL_CD_007
L_MODV2_SOIL_CD_008,L_MODV2_SOIL_CD_008
L_MODV2_SOIL_CD_009,L_MODV2_SOIL_CD_009
L_MODV2_SOIL_CD_010,L_MODV2_SOIL_CD_010
L_MODV2_SOIL_CA_001,L_MODV2_SOIL_CA_001
L_MODV2_SOIL_CA_002,L_MODV2_SOIL_CA_002
L_MODV2_SOIL_CA_003,L_MODV2_SOIL_CA_003
L_MODV2_SOIL_CA_004,L_MODV2_SOIL_CA_004
L_MODV2_SOIL_CA_005,L_MODV2_SOIL_CA_005
L_MODV2_SOIL_CA_006,L_MODV2_SOIL_CA_006
L_MODV2_SOIL_CA_007,L_MODV2_SOIL_CA_007
L_MODV2_SOIL_CA_008,L_MODV2_SOIL_CA_008
L_MODV2_SOIL_CA_009,L_MODV2_SOIL_CA_009
L_MODV2_SOIL_CA_010,L_MODV2_SOIL_CA_010
L_MODV2_SOIL_CA_011,L_MODV2_SOIL_CA_011
L_MODV2_SOIL_CA_012,L_MODV2_SOIL_CA_012
L_MODV2_SOIL_CA_013,L_MODV2_SOIL_CA_013
L_MODV2_SOIL_CA_014,L_MODV2_SOIL_CA_014
L_MODV2_SOIL_CA_015,L_MODV2_SOIL_CA_015
L_MODV2_SOIL_CA_016,L_MODV2_SOIL_CA_016
L_MODV2_SOIL_CA_017,L_MODV2_SOIL_CA_017
L_MODV2_SOIL_CA_018,L_MODV2_SOIL_CA_018
L_MODV2_SOIL_CA_019,L_MODV2_SOIL_CA_019
L_MODV2_SOIL_CA_020,L_MODV2_SOIL_CA_020
L_MODV2_SOIL_CA_021,L_MODV2_SOIL_CA_021
L_MODV2_SOIL_CA_022,L_MODV2_SOIL_CA_022
